Active;x1;pmv1;x2;pmv2;x3;pmv3;x4;pmv4;x5;pmv5;LUMO;HOMO;GapHL;Dipole_Moment;ASA;a_aro;a_count;a_heavy;balabanJ;chi0;KierFlex;lip_acc;lip_don;logS;mr;rings;vdw_area;vdw_vol;Weight;weinerPath;weinerPol;zagreb;apol;bpol;McGowan_Volume;PetitjeanNumber;CPCM1;CPCM2;CPCM3;CPCM4;CPCM5;SMD1;SMD2;SMD3;SMD4;SMD5;mol
1;93,3007584;472,421631;95,4975662;984,456177;415,672302;440,053619;-2,70688725;512,633789;65,2554779;468,637177;-0,02021;-0,33693;-8,618457952;4,1867;577,30029;6;46;22;1,8687899;16,11252;4,5797644;5;1;-2,67114;8,6528282;2;330,16431;430,90387;304,38998;1121;32;108;50,529032;32,708968;2,4474;0,454545455;-257,3409515;-254,716977;-254,7680011;-258,4347411;-259,3403453;-263,883839;-260,74398;-260,3597724;-263,8727486;-262,2334178;O=C(NC[C@@H]1N(CC)CCC1)c1c(OC)ccc(C(=O)C)c1
1;47,9595032;231,455032;56,7720261;519,665955;198,225403;204,436325;1,30581975;311,623291;34,3567848;232,432098;0,02202;-0,37062;-10,68436262;1,3403;338,0434;0;18;9;3,6649978;7,3284273;3,2369442;1;1;-1,87348;3,9346874;0;177,7301;191,67336;144,601;92;10;36;21,303137;10,258863;1,147;0,4;-92,55558404;-91,76671407;-91,78244256;-92,8723318;-93,12917992;-95,13824659;-93,79149331;-93,57545078;-94,14947988;-90,7039255;Cl/C=C/[C@@](O)(C#C)CC
1;52,9590149;267,592926;57,3410759;579,800964;233,260849;244,629562;-0,996949494;315,204742;35,7214088;268,860199;0,03563;-0,3557;-10,64871543;2,8931;365,62439;0;26;12;2,5369716;9,1378279;2,0894008;4;2;-0,69718999;4,5469737;1;189,29659;230,36531;170,21199;190;15;56;27,219102;18,540898;1,3582;0,4;-146,8278233;-144,8241605;-144,8634101;-147,6530602;-148,331263;-149,4736461;-147,3446931;-147,1178509;-151,1297842;-151,4168659;O=C(N)[C@@H](CC)N1C(=O)CCC1
1;103,137207;531,106506;100,571518;1084,20752;475,247192;506,610199;-5,25861931;532,550659;67,0094147;528,294678;-0,01012;-0,30605;-8,052728788;5,1773;610,50903;9;54;26;1,4930624;18,474327;4,6440368;6;2;-2,25249;10,365963;4;367,36078;505,45264;376,52499;1574;48;146;61,014204;42,365796;2,8594;0,454545455;-303,7089194;-299,6711708;-299,7505942;-305,363011;-306,719101;-312,4178496;-306,5054387;-306,1196103;-314,1998967;-312,872837;S(=O)(=O)(N(CC)CC)N[C@H]1CN(C)[C@@H]2[C@@H](c3c4c([nH]cc4C2)ccc3)C1
1;123,976738;624,725281;125,985481;1301,09631;553,680176;585,466797;-3,63602495;674,234436;87,3779678;624,730774;0,00259;-0,33318;-9,136838932;2,1602;755,50543;12;60;29;1,4077057;20,313345;8,5863447;5;1;-3,88799;11,871669;3;443,73776;580,27539;418,965;2696;40;140;67,936583;42,101417;3,2636;0,5;-333,8867367;-331,3396642;-331,3902621;-334,915015;-335,751338;-345,5034263;-340,9666414;-340,4562967;-344,5117327;-338,8797802;Clc1ccc([C@H](N2CCN(CCOCCOCCO)CC2)c2ccccc2)cc1
1;98,7325363;504,389679;98,135643;1035,93066;449,156708;476,407837;-4,11883545;517,976624;67,6465302;500,788574;-0,0011;-0,27824;-7,541422824;1,8841;596,91608;12;49;23;1,741223;16,396976;4,3294959;2;0;-5,0307698;10,025342;3;359,48053;483,56985;326,508;1130;37;120;57,636618;34,663382;2,7059;0,5;-273,4790871;-271,4251654;-271,4652152;-274,3322276;-275,0375026;-283,0622909;-279,4859808;-279,089135;-279,7367131;-272,4149213;N(C[C@H](CN1c2c(Sc3c1cccc3)ccc(CC)c2)C)(C)C
1;79,6301727;417,268097;77,2707443;873,796326;371,290131;393,980316;-5,85719347;409,53894;55,5046997;416,703156;-0,02169;-0,31659;-8,02470084;3,3379;532,15912;12;41;21;1,7131474;14,819627;2,7867649;3;0;-4,1294198;8,5292358;3;304,75192;413,50742;280,371;888;35;110;48,01786;26,78214;2,2763;0,5;-226,6196728;-224,6584216;-224,6963394;-227,4454621;-228,1337691;-235,4715076;-232,7585946;-232,4255834;-233,0792809;-229,1906459;O=C1N(CCCN(C)C)c2c(-c3c1cccc3)cccc2
1;57,622715;297,397827;59,6289444;635,29303;261,122406;275,74054;-2,57482266;323,567139;39,1752434;297,739868;0,03213;-0,36009;-10,67293375;3,7686;393,63983;0;30;14;1,8421638;9,9662552;2,223949;4;1;-0,81637001;5,3109694;2;198,80678;266,94336;196,25;306;17;70;32,072688;22,047312;1,5314;0,5;-171,8106983;-169,5338357;-169,5780528;-172,7609447;-173,5478459;-176,5463056;-174,0834531;-173,8444006;-177,9113555;-177,8981241;O=C(N1CCCCC1)[C@H]1NC(=O)CC1
1;93,1800385;481,53418;91,1393585;994,699097;425,587067;451,794312;-5,15296078;487,832458;65,8090897;479,591187;0,01451;-0,31219;-8,89002972;0,677;603,20154;12;48;23;1,4881575;16,070704;4,4200201;3;0;-3,5144;9,4292727;3;339,33548;464,60684;311,42499;1292;33;116;54,573825;33,142175;2,56;0,461538462;-269,3791422;-267,5863666;-267,6216285;-270,1137827;-270,716276;-278,0487036;-274,9918831;-274,5925911;-275,4460387;-270,3467336;O(C[C@@H]1[C@@H](c2ccccc2)CCN(C)C1)c1ccc(OC)cc1
1;63,4728966;323,583618;64,9019547;681,981262;284,99823;300,914093;-2,32946229;350,712616;43,9282265;323,865356;0,00295;-0,35994;-9,874817524;2,7674;416,99951;6;31;16;2,1998739;11,759149;1,8857129;3;1;-2,80387;6,2755618;2;231,18394;304,62289;217,26799;389;28;84;35,585895;18,974105;1,7253;0,428571429;-169,7514475;-167,8435285;-167,8808406;-170,5392863;-171,1877535;-174,0089499;-172,213553;-171,9500284;-173,6134641;-171,8966029;O=C1[C@@H](CC)[C@@](C)(c2ccccc2)C(=O)N1
